Student_Id,Gender,Python_Marks,DS_Marks,DA_Marks
ZS_182,Female,67,87,39
ZS_183,Male,45,59,48
ZS_184,Female,67,39,58
ZS_185,Female,78,69,69
ZS_186,Male,56,78,29
ZS_187,Male,89,78,49
ZS_188,Male,90,49,59
ZS_189,Female,100,90,60
ZS_190,Female,89,89,67
ZS_191,Female,67,90,78
ZS_192,Female,39,100,89
ZS_193,Male,67,18,90
ZS_194,Female,77,45,67
ZS_195,Male,78,67,44
ZS_196,Male,89,80,56
ZS_197,Male,56,89,90
ZS_198,Female,89,100,100
ZS_199,Female,89,90,78
